true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
1382829.4941084557,-12.467050589154297,1.335,-3350.0,21.0,10000,2022-06-18,6,5,80.0,15000.0,100,156.11217061502776,1.0,False,True,20,False,156.11217061502776,2022-06-18,always_min_price_80,0.0,1.0,
1497137.3380052443,30.186571719628077,1.265615915735325,-2656.1591573532514,15.0,10000,2022-06-18,6,5,91.99999988079071,15000.0,100,156.11217061502776,0.0,False,True,20,False,156.11217061502776,2022-06-18,myopic_grid_max_sl,0.0,1.0,
1423492.051327976,213.93503278412754,0.988473736508671,115.26263491328973,,10000,2022-06-18,6,5,112.00000047683716,15000.0,100,156.11217061502776,0.0,False,True,20,False,156.11217061502776,2022-06-18,best_constant_price,0.0,0.0,112.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,21,True,89.3393639748758,2022-06-20,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-20,6,0,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,21,True,89.3393639748758,2022-06-20,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,21,True,89.3393639748758,2022-06-20,best_constant_price,1.0,0.0,80.0
1403209.1631530663,-17.17908368469321,1.3499999999999999,-3499.999999999998,32.0,10000,2022-12-11,12,6,80.0,15000.0,100,192.542564800098,1.0,False,True,22,False,192.542564800098,2022-12-11,always_min_price_80,0.0,1.0,
1600841.1874151907,2.5841187415188642,1.3500000000000003,-3500.0000000000036,26.0,10000,2022-12-11,12,6,91.99999988079071,15000.0,100,192.542564800098,0.0,False,True,22,False,192.542564800098,2022-12-11,myopic_grid_max_sl,0.0,1.0,
1666854.0287373941,125.15746870439236,1.0922842981541043,-922.8429815410436,6.0,10000,2022-12-11,12,6,120.0,15000.0,100,192.542564800098,0.0,False,True,22,False,192.542564800098,2022-12-11,best_constant_price,0.0,1.0,120.0
1382829.4941084557,-12.467050589154297,1.335,-3350.0,21.0,10000,2022-06-04,6,5,80.0,15000.0,100,156.11217061502776,1.0,False,True,23,False,156.11217061502776,2022-06-04,always_min_price_80,0.0,1.0,
1497137.3380052443,30.186571719628077,1.265615915735325,-2656.1591573532514,15.0,10000,2022-06-04,6,5,91.99999988079071,15000.0,100,156.11217061502776,0.0,False,True,23,False,156.11217061502776,2022-06-04,myopic_grid_max_sl,0.0,1.0,
1423492.051327976,213.93503278412754,0.988473736508671,115.26263491328973,,10000,2022-06-04,6,5,112.00000047683716,15000.0,100,156.11217061502776,0.0,False,True,23,False,156.11217061502776,2022-06-04,best_constant_price,0.0,0.0,112.0
846482.4117462888,-7.319519697711044,0.7644277248324112,2355.7227516758885,,10000,2022-06-16,6,3,80.0,15000.0,100,89.3393639748758,1.0,True,False,24,True,89.3393639748758,2022-06-16,always_min_price_80,1.0,0.0,
860408.412721865,-70.73066285508209,0.6756554737982621,3243.445262017379,,10000,2022-06-16,6,3,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,24,True,89.3393639748758,2022-06-16,myopic_grid_max_sl,1.0,0.0,
846482.4117462888,-7.319519697711044,0.7644277248324112,2355.7227516758885,,10000,2022-06-16,6,3,80.0,15000.0,100,89.3393639748758,1.0,True,False,24,True,89.3393639748758,2022-06-16,best_constant_price,1.0,0.0,80.0
1210016.6883307456,74.05993327382203,1.1043149679094502,-1043.149679094502,7.0,10000,2022-12-28,12,2,80.0,15000.0,100,127.57061847614774,1.0,False,True,25,False,127.57061847614774,2022-12-28,always_min_price_80,0.0,1.0,
1229923.41450524,185.52485812649155,0.9760719406520104,239.2805934798962,,10000,2022-12-28,12,2,91.99999988079071,15000.0,100,127.57061847614774,0.0,False,True,25,False,127.57061847614774,2022-12-28,myopic_grid_max_sl,0.0,0.0,
1229533.0865296293,201.08872620358153,0.9974457774666009,25.542225333991155,,10000,2022-12-28,12,2,90.0,15000.0,100,127.57061847614774,0.0,False,True,25,False,127.57061847614774,2022-12-28,best_constant_price,0.0,0.0,90.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-29,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,26,True,89.3393639748758,2022-06-29,always_min_price_80,1.0,0.0,
