policy,seed,dow,month,days_prior,price,selling_limit,accepted,show_ups,revenue
Planner,4,6,12,29,120.0,15000.0,179.41605166575712,6607.092193943607,1040203.8202580009
Planner,4,6,12,28,120.0,15000.0,171.35878913185138,6744.4859100795875,1060766.874953823
Planner,4,6,12,27,120.0,15000.0,164.85074800333044,6876.455412009367,1080548.9647142226
Planner,4,6,12,26,120.0,15000.0,171.36692886092885,7015.14943956959,1101112.996177534
Planner,4,6,12,25,120.0,15000.0,181.28315789211607,7160.233877839399,1122866.975124588
Planner,4,6,12,24,120.0,15000.0,184.1926544891264,7307.938387105533,1144970.0936632832
Planner,4,6,12,23,120.0,15000.0,177.48183388608308,7452.208914236141,1166267.9137296132
Planner,4,6,12,22,120.0,15000.0,180.79542582133118,7598.830675914731,1187963.3648281728
Planner,4,6,12,21,120.0,15000.0,183.1321830607223,7747.098972464675,1209939.2267954596
Planner,4,6,12,20,120.0,15000.0,175.75532384440436,7890.231931987632,1231029.8656567882
Planner,4,6,12,19,120.0,15000.0,188.6668226968203,8044.4189614963125,1253669.8843804067
Planner,4,6,12,18,120.0,15000.0,200.79488214506395,8209.409839917824,1277765.2702378144
Planner,4,6,12,17,120.0,15000.0,161.7635225368897,8341.908518352193,1297176.8929422412
Planner,4,6,12,16,120.0,15000.0,200.6256708029393,8507.352360883193,1321251.9734385938
Planner,4,6,12,15,120.0,15000.0,185.81282719570078,8659.825209384204,1343549.5127020779
Planner,4,6,12,14,120.0,15000.0,201.3612142659274,8828.157273087952,1367712.8584139892
Planner,4,6,12,13,120.0,15000.0,196.49009317823078,8992.174382585723,1391291.6695953768
Planner,4,6,12,12,120.0,15000.0,203.1876237678102,9162.803393881917,1415674.1844475141
Planner,4,6,12,11,120.0,15000.0,181.82197051790038,9315.911515427333,1437492.8209096622
Planner,4,6,12,10,120.0,15000.0,193.8815391401492,9478.672717008089,1460758.60560648
Planner,4,6,12,9,120.0,15000.0,198.6316334852569,9646.201364875113,1484594.4016247108
Planner,4,6,12,8,120.0,15000.0,169.0560896272309,9790.741470207488,1504881.1323799784
Planner,4,6,12,7,120.0,11153.801679611206,144.39334567286096,9913.366760355384,1522208.3338607217
Planner,4,6,12,6,120.0,11172.253489494324,48.13106415265975,9954.514044173899,1527984.0615590408
Planner,4,6,12,5,120.0,11188.048422336578,43.21042157996999,9991.645450277472,1533169.3121486371
Planner,4,6,12,4,113.99999976158142,11208.218336105347,46.55121489206067,10031.706522554274,1538476.1506352334
Planner,4,6,12,3,113.99999976158142,11182.48388171196,0.0,10031.706522554274,1538476.1506352334
Planner,4,6,12,2,113.99999976158142,11158.324927091599,0.0,10031.706522554274,1538476.1506352334
Planner,4,6,12,1,113.99999976158142,11135.046482086182,0.0,10031.706522554274,1538476.1506352334
Planner,4,6,12,0,113.99999976158142,11112.485975027084,0.0,10031.706522554274,1538476.1506352334
Joint BC to SAC + cap,4,6,12,99,119.61660861968994,12658.495903015137,104.46408363374496,76.06436654446154,12495.639406832228
Joint BC to SAC + cap,4,6,12,98,117.44139194488525,11681.790798902512,81.13501742108733,134.69542903173743,22024.248788237237
Joint BC to SAC + cap,4,6,12,97,117.6627779006958,11636.889427900314,89.96278158267263,199.912419250622,32609.519576928054
Joint BC to SAC + cap,4,6,12,96,117.66387462615967,11637.53941655159,82.08340352457016,259.5579443548729,42267.77087813155
Joint BC to SAC + cap,4,6,12,95,117.71994113922119,11626.166254281998,97.58523198844884,331.74882898351194,53755.498643868996
Joint BC to SAC + cap,4,6,12,94,117.7720046043396,11601.028144359589,98.15940619764791,403.4882793657368,65315.928682537626
Joint BC to SAC + cap,4,6,12,93,117.78680801391602,11568.803489208221,84.04339274195146,466.2983201555453,75215.131648272
Joint BC to SAC + cap,4,6,12,92,117.77368068695068,11576.671302318573,81.4669774526966,526.4199904010054,84809.7974373169
Joint BC to SAC + cap,4,6,12,91,117.75588035583496,11667.255461215973,94.17918969913815,594.2184819133338,95899.9508315381
Joint BC to SAC + cap,4,6,12,90,117.75322437286377,11759.303212165833,92.70527078222139,661.228610402098,106816.2953825041
Joint BC to SAC + cap,4,6,12,89,117.74967670440674,11849.455684423447,101.00236268115307,734.8784878396293,118709.29093459112
Joint BC to SAC + cap,4,6,12,88,117.73222923278809,11927.75547504425,110.05793396633199,813.3256138505709,131666.65684520238
Joint BC to SAC + cap,4,6,12,87,117.76055097579956,11991.416662931442,99.47945486384975,885.2751943524268,143381.41226074152
Joint BC to SAC + cap,4,6,12,86,117.91624546051025,12039.072215557098,105.4748171409604,960.3226000266167,155818.60668863743
Joint BC to SAC + cap,4,6,12,85,118.04867506027222,12095.464020967484,97.41557906290923,1031.9966327041177,167318.38672724305
Joint BC to SAC + cap,4,6,12,84,118.1287956237793,12192.419320344925,90.38817401518128,1099.229558560063,177995.832862289
Joint BC to SAC + cap,4,6,12,83,118.16303253173828,12320.823967456818,103.63833530295162,1176.430749419174,190242.0528482269
Joint BC to SAC + cap,4,6,12,82,118.18558692932129,12415.188252925873,109.84673396988683,1256.2768012269667,203224.35357472696
Joint BC to SAC + cap,4,6,12,81,118.18952083587646,12450.894117355347,96.06477498453731,1326.9251088420165,214578.20329935572
Joint BC to SAC + cap,4,6,12,80,118.18309783935547,12513.43309879303,108.44091985505932,1407.8439209090157,227394.0871403759
Joint BC to SAC + cap,4,6,12,79,118.1891679763794,12586.958408355713,99.62127668390569,1480.9019637282572,239168.2429443914
Joint BC to SAC + cap,4,6,12,78,118.21847438812256,12637.798190116882,98.86880156722081,1553.523288145668,250856.36183025024
Joint BC to SAC + cap,4,6,12,77,118.2294774055481,12694.474160671234,104.38247602986763,1630.7491547132295,263197.44742155867
Joint BC to SAC + cap,4,6,12,76,118.17278146743774,12797.86616563797,124.0276935287348,1722.1800467350859,277854.14494484017
Joint BC to SAC + cap,4,6,12,75,118.15595626831055,12894.715070724487,105.28075678293777,1800.8534397392748,290293.6934391796
Joint BC to SAC + cap,4,6,12,74,118.15192222595215,13012.365102767944,99.97261832792715,1874.8773939861867,302105.6504645857
Joint BC to SAC + cap,4,6,12,73,118.1313705444336,13125.331997871399,108.33425411870877,1956.3523888357392,314903.3243805377
