policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,n_seasons,history
"fitted, 5 seasons, history 1",27,3268549.660460722,3513993.9134517033,755.7368701778887,235.74219738850843,2,10306.0,94.8485494208528,7749.0,119.45694639123106,8676.0,80.0,2152.0,91.75605054736592,2412.0,80.0,565.0,80.17394925007778,5,1
"fitted, 5 seasons, history 1",28,1540117.1952401644,2643533.2564112404,5517.08030585538,0.0,0,8904.0,80.74353826094188,7551.0,97.15703770835836,5940.0,80.0,2364.0,80.0,1613.0,80.0,331.0,80.0,5,1
"fitted, 5 seasons, history 1",29,2462663.4500396047,2991638.8932862133,2644.8772162330433,0.0,0,9464.0,83.77894830837253,7486.0,104.60525333900289,7307.0,80.0,2636.0,80.0,1930.0,80.0,419.0,80.0,5,1
"fitted, 20 seasons, history 1",0,3053230.456553998,3315028.1473886967,1308.9884541734937,0.0,0,9374.0,87.76060177181381,6776.0,119.75935661868404,8425.0,80.0,2891.0,83.11152990859753,2535.0,80.0,503.0,80.0,20,1
"fitted, 20 seasons, history 1",1,2832710.3935398017,3289731.7972620577,2123.650629614711,80.72819449828421,2,9261.0,95.91576678080843,6913.0,119.25857414165317,7341.0,80.0,3144.0,84.19550859792344,2115.0,80.0,508.0,80.0,20,1
"fitted, 20 seasons, history 1",2,2188235.632922151,2920803.493121937,3662.8393009989304,0.0,0,9634.0,84.55812810032552,7943.0,106.77206181586314,6244.0,80.0,2722.0,80.0,1590.0,80.0,286.0,80.0,20,1
"fitted, 20 seasons, history 1",3,3449152.817120075,3487993.712469926,194.20447674925526,0.0,0,10466.0,82.07036665388942,8383.0,119.81339223747761,10155.0,82.09008848190983,1809.0,88.69760617739153,2309.0,82.57184934169506,370.0,80.0,20,1
"fitted, 20 seasons, history 1",4,2749440.1237965585,3182411.1880999804,2164.8553215171087,0.0,0,8853.0,81.85221653246926,6603.0,119.75200643570842,7909.0,80.0,2945.0,81.73779736795733,2645.0,80.10876940373888,538.0,80.0,20,1
"fitted, 20 seasons, history 1",5,1884378.6798832926,2734072.7097968194,4248.470149567634,0.0,0,7671.0,80.0,7876.0,98.32309672382164,7654.0,80.0,2106.0,80.0,1965.0,80.0,343.0,80.0,20,1
"fitted, 20 seasons, history 1",6,3122241.673090561,3348776.582996119,1132.67454952779,0.0,0,9954.0,101.27863448399317,7285.0,101.0938476202888,9766.0,80.0,2608.0,83.11740326469456,1772.0,80.0,441.0,80.0,20,1
"fitted, 20 seasons, history 1",7,2589005.5166031877,3100291.2983077765,2406.841329736436,74.79378939325397,2,9359.0,89.64930983929186,7207.0,109.51344630523712,7258.0,80.0,3040.0,80.0,1970.0,80.0,374.0,80.0,20,1
"fitted, 20 seasons, history 1",8,230878.0529826507,2175745.1156307105,9724.335313240299,0.0,0,6817.0,80.0,7361.0,88.659844536165,5965.0,80.0,1467.0,80.0,1315.0,80.0,231.0,80.0,20,1
"fitted, 20 seasons, history 1",9,1902748.1580570163,2694154.8407151783,3957.033413290809,0.0,0,9470.0,80.56220430204961,7075.0,91.99021427205207,7756.0,80.0,2005.0,80.0,1581.0,80.0,359.0,80.0,20,1
"fitted, 20 seasons, history 1",10,1449395.1185838417,2586946.3308273396,5687.756061217489,0.0,0,8059.0,80.0,7680.0,93.8523868264765,6905.0,80.0,2035.0,80.0,1710.0,80.0,291.0,80.0,20,1
"fitted, 20 seasons, history 1",11,2960580.288023512,3339448.8967929757,1846.1973118151127,24.072866016103944,1,9618.0,93.76244872387531,7084.0,119.78685019583031,7346.0,80.0,2682.0,88.08785440034025,2404.0,80.05165706656737,600.0,80.0,20,1
"fitted, 20 seasons, history 1",12,3128427.6971890787,3418237.7241870435,232.18728564336016,608.431424673232,2,9366.0,92.40440931844613,6540.0,119.76640125343559,8743.0,80.0,2858.0,85.23193882312951,2662.0,80.0,654.0,80.0,20,1
"fitted, 20 seasons, history 1",13,3236259.4368057298,3437477.4718889594,615.5777916561638,195.2561918799929,2,9677.0,80.0,8430.0,119.80827956288735,10220.0,83.86775319307037,1810.0,86.96170888701197,2292.0,84.6518000370106,389.0,80.0,20,1
"fitted, 20 seasons, history 1",14,1901129.2763622073,2827162.560801357,4630.166422195749,0.0,0,10080.0,83.98759433083119,8371.0,99.51590131962475,6207.0,80.0,2332.0,80.0,1360.0,80.0,251.0,80.0,20,1
"fitted, 20 seasons, history 1",15,1304123.4081388116,2558373.1111590564,6271.248515101224,0.0,0,7595.0,80.0,8010.0,97.34495769775985,5901.0,80.0,2208.0,80.0,1697.0,80.0,309.0,80.0,20,1
"fitted, 20 seasons, history 1",16,2971661.477513666,3277308.987469375,701.7451764944963,413.24618664202535,2,8883.0,87.9159455412172,6139.0,119.41406507264094,8303.0,80.0,3257.0,80.7105768722444,2680.0,80.0,602.0,80.0,20,1
"fitted, 20 seasons, history 1",17,2988789.084284397,3389951.369413063,2005.811425643331,0.0,0,9538.0,96.92566883543842,7124.0,118.93885109404177,8410.0,80.0,2909.0,83.86283342500822,2148.0,80.0,474.0,80.0,20,1
"fitted, 20 seasons, history 1",18,2071734.614171115,2863404.0238963068,3870.6109300568223,43.86805928456852,1,8747.0,80.33348458336873,7755.0,108.87518172090012,6461.0,80.0,2585.0,80.0,1941.0,80.0,314.0,80.0,20,1
