policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun
"SAC, kept checkpoint",17,2464057.8729894813,3155112.6808309555,3326.426722381405,64.42365841298306,1,10653.0,84.91986800435227,9791.0,100.33783175243735,7644.0,83.16004861015603,2201.0,85.97730910978443,1208.0,89.95580871373612,132.0,92.35569738077395
"SAC, kept checkpoint",18,1603230.432093416,2725018.936970234,5608.942524384089,0.0,0,8594.0,81.40896725049816,9037.0,100.56223474364636,6134.0,82.2451840014111,2181.0,83.05179722535397,1181.0,88.66446414809425,152.0,88.64033895103555
"SAC, kept checkpoint",19,2168206.4213896757,2915974.2645812035,3738.839215957638,0.0,0,9984.0,83.66926015772594,8807.0,99.06463810868847,6516.0,83.2532444481033,2400.0,85.43865208377441,1202.0,88.61413020460856,150.0,94.54680778980256
"SAC, kept checkpoint",20,2293625.379628705,3117703.4492218494,2954.66052192167,582.8649130220274,2,10099.0,82.79623951023316,9190.0,101.17767621176287,7270.0,83.35482704049127,2596.0,84.41319910146423,1468.0,88.50966834567224,173.0,91.70341703244027
"SAC, kept checkpoint",21,2869361.9892037977,3177055.1034998894,1538.4655714804594,0.0,0,9492.0,91.74549779910052,8309.0,93.28939679885889,10596.0,81.3288289586433,1940.0,86.51075019725819,1756.0,84.21034361140332,135.0,93.57168201163962
"SAC, kept checkpoint",22,-255317.82286522537,2014882.6815390587,11351.00252202142,0.0,0,6928.0,84.23119393992506,8738.0,85.74567290718316,4387.0,94.22937399275297,871.0,90.06214910341869,517.0,93.54820495647895,52.0,96.67890186493213
"SAC, kept checkpoint",23,1691959.457275487,2956235.5072808266,4413.093210046217,954.1435199902407,2,10987.0,83.19822552640954,9564.0,99.89471859235935,5912.0,84.20427914965943,2290.0,85.33140242776496,952.0,90.47991550770126,91.0,94.6382206088894
"SAC, kept checkpoint",24,2885179.9407476247,3278383.5055422783,1468.8493735222455,248.58422522551155,1,10100.0,88.51604402797057,9533.0,96.7767248873469,9907.0,81.54994220236446,1922.0,86.55628975546695,1593.0,85.57039468750891,185.0,87.44866633415222
"SAC, kept checkpoint",25,1774703.8764612249,2889302.5293922424,5050.742004939989,261.12562985754994,1,10979.0,83.86805079154645,9319.0,98.06275102109507,5849.0,82.98535808454642,2136.0,86.21656004688266,952.0,90.97014033493875,97.0,95.4047141984566
"SAC, kept checkpoint",26,298211.29123240337,2236559.9224221706,9691.743155948836,0.0,0,4584.0,84.08499446110784,9757.0,89.53906617534079,6526.0,85.61402219480946,946.0,87.70193330203251,1205.0,92.65921745953223,112.0,87.86832860537938
"SAC, kept checkpoint",27,2192393.0768840006,3277393.0644464493,2911.9374199329704,1256.5312589396362,2,10681.0,83.8304043518181,10200.0,102.47979134134218,7658.0,85.88131968409687,2550.0,85.02356871249629,1202.0,90.86556681876571,97.0,92.66829785612441
"SAC, kept checkpoint",28,969953.6224776562,2509476.3318896294,7697.613547059866,0.0,0,8640.0,83.28781411851998,8687.0,92.42296830932935,5586.0,84.57078956913189,1848.0,86.4837581486929,913.0,90.93737306234479,100.0,96.27749446630477
"SAC, kept checkpoint",29,2041547.4669231544,2889126.1810469627,4237.893570619042,0.0,0,9230.0,85.24035774421588,9096.0,96.26017786844216,7056.0,82.28561037640317,2076.0,86.16532451614938,1411.0,87.48997444805737,153.0,90.44161018982432
BC -> SAC,0,2744905.0922844918,3166562.3142051697,2108.2861096033903,0.0,0,10295.0,81.6782970616052,8349.0,105.73455574726941,8170.0,80.29490810231451,1862.0,89.25000243681203,2208.0,80.96945177061835,398.0,81.21351150112535
BC -> SAC,1,2581606.040379313,3171515.855383873,2550.2946348552305,199.62722008378478,1,10262.0,88.15530610639806,8706.0,104.25920103696086,7173.0,80.28030603280646,2153.0,88.66255279258412,1869.0,80.77835349618209,409.0,81.17720213962359
BC -> SAC,2,1907797.7823307738,2859609.919371605,4408.970934008275,175.0448755979396,1,9932.0,84.17741931629814,9575.0,96.43790836807331,6087.0,80.24847659783468,1813.0,88.07587373670924,1420.0,80.58280971604334,261.0,81.06774365764925
BC -> SAC,3,3106022.6437616623,3380692.7080202103,804.186939051755,284.5816911204929,1,10401.0,81.74234722270586,8704.0,111.64927961058257,10640.0,80.51053568418313,1473.0,88.45982354268361,2243.0,82.42223192154165,292.0,81.86569930347677
BC -> SAC,4,2496701.3002824397,3078050.694657564,2906.746971875622,0.0,0,9153.0,80.65478038816495,8453.0,103.14741394145523,7848.0,80.2642701004198,1998.0,88.07128492000702,2325.0,80.98921004828587,450.0,81.08572348488701
BC -> SAC,5,1670692.3562499802,2694713.2358002663,5120.10439775143,0.0,0,7759.0,80.92607617378235,8709.0,95.61159339683695,7489.0,80.55231463051173,1362.0,89.94027231670862,1917.0,81.17223192268693,306.0,81.32736451485577
BC -> SAC,6,2551509.3556792913,3256080.7351589203,2481.198886832206,520.8290052829689,1,11601.0,91.36930151423877,7243.0,103.24959738287794,9311.0,82.21726379721265,1780.0,89.17775167240185,1697.0,81.06486093808289,365.0,82.31667329187263
