policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,round
dagger round 3,24,3348648.983083003,3447334.53900218,493.4277795958842,0.0,0,9839.0,93.63284485286081,7296.0,114.7544806181012,9783.0,80.22083537047058,2449.0,84.72708623863912,2313.0,80.18278518642536,492.0,80.02237317523335,3
dagger round 3,25,2151740.4310714486,3003572.6155412197,4259.160922348856,0.0,0,9660.0,90.00542950148908,7501.0,111.92178079897906,6358.0,80.00021985676649,2751.0,81.79329495523592,1597.0,80.00206692336721,335.0,80.00017944022791,3
dagger round 3,26,1124286.622077649,2494778.443186283,6852.459105543171,0.0,0,4997.0,80.00059112038687,7508.0,103.78206283219266,7326.0,80.00032527945324,1630.0,80.00291456108444,2456.0,80.02603362117218,316.0,80.0,3
dagger round 3,27,3198893.2977594244,3497582.0303964615,980.766214404859,256.3387243901634,2,10392.0,93.65522760831915,8166.0,117.3485724674321,8737.0,80.0213859798134,2146.0,92.16299721323655,2160.0,81.77042035813685,486.0,80.99438479407824,3
dagger round 3,28,1684087.647577966,2706709.9145936966,5113.111335078653,0.0,0,9033.0,80.24128851575945,7498.0,100.10508405761612,6205.0,80.00020798572507,2373.0,80.0043884837773,1680.0,80.0000942484254,360.0,80.0000001821253,3
dagger round 3,29,2495453.9180739736,3029715.933009386,2671.3100746770615,0.0,0,9383.0,84.60446868092218,7133.0,109.23365035465518,7465.0,80.00036224070125,2763.0,80.39862031053039,1959.0,80.0058618889225,424.0,80.00010106361137,3
dagger round 4,0,3029900.5550676715,3298199.243643284,1334.1659255083505,3.6637586848555657,1,9701.0,85.1043167508468,7470.0,114.92607505860897,8403.0,80.00223537392522,2497.0,85.47791933029902,2424.0,80.12421673083855,527.0,80.02958283478667,4
dagger round 4,1,2755276.2908572117,3267008.5524618626,2297.580906131385,130.5402009459358,2,9711.0,93.7036995043925,7580.0,114.74102604892448,7254.0,80.00166165408005,2756.0,85.39755952635075,2062.0,80.10240995109255,440.0,80.2494005587968,4
dagger round 4,2,2109714.3076364906,2918701.646760702,4044.936695621058,0.0,0,9439.0,85.1903906858931,7974.0,108.94353365700796,6146.0,80.00120147078347,2773.0,80.71140974727814,1505.0,80.00031322973511,274.0,80.0000075136658,4
dagger round 4,3,3430496.2458626027,3469472.887740135,28.057437653707893,83.41288586697738,2,10657.0,80.76705345922242,8560.0,116.17852674424648,10106.0,81.53005464027925,1771.0,87.64179002828075,2413.0,81.6965291424011,356.0,80.16180522321315,4
dagger round 4,4,2732565.340546285,3169933.8415062428,2186.84250479979,0.0,0,9179.0,80.24493027478863,7180.0,114.8675382525808,7712.0,80.00180378927234,2724.0,82.5347337078593,2571.0,80.38709502051378,536.0,80.00193980202747,4
dagger round 4,5,1839770.4205228903,2714505.044823885,4301.833291796088,35.91991485444305,1,7786.0,80.01134903746951,8512.0,93.544831472428,7583.0,80.00159511210248,1959.0,80.24812968425935,1867.0,80.16571159406212,312.0,80.00004358398608,4
dagger round 4,6,3103721.4096147353,3354744.3496632576,987.6656639664761,133.72451813806765,1,10304.0,98.7978704731842,7732.0,98.75550008705103,9771.0,80.0128575379572,2472.0,83.03750908008286,1696.0,80.00177459404716,456.0,80.00326777497928,4
dagger round 4,7,2543871.3829748845,3079128.7183117867,2594.7546164794685,40.766030102520745,1,9491.0,88.7064034190724,7480.0,108.03261940555777,7171.0,80.00137345642246,2871.0,80.54299717661978,1811.0,80.00121626519551,430.0,80.0000822876775,4
dagger round 4,8,324629.45730347396,2203573.5186183453,9394.720306574356,0.0,0,6848.0,80.00120253937546,7905.0,86.7550213300752,5934.0,80.00113510265871,1466.0,80.00002744578404,1317.0,80.00000903890634,208.0,80.00000005731216,4
